market,corrs,vols,mids,dates
SKivu_NKivu,0,0.049860349,3,2/23/2022
SKivu_NKivu,0,0.049860349,3,3/2/2022
SKivu_NKivu,-0.138290664,0.049860349,3,3/9/2022
SKivu_NKivu,-0.138290664,0.049860349,3,3/16/2022
SKivu_NKivu,0.133683306,0.034497679,3,4/20/2022
SKivu_NKivu,0.119199397,0.029109332,3,4/27/2022
SKivu_NKivu,0.039451913,0.004234922,3,5/4/2022
SKivu_NKivu,0.072910655,0.004234922,3,5/11/2022
SKivu_NKivu,0.072910655,0.004234922,3,5/18/2022
SKivu_NKivu,-0.022052142,0.006669367,3,5/25/2022
SKivu_NKivu,-0.054168261,0.006862854,3,6/1/2022
SKivu_NKivu,-0.054168261,0.006862854,3,6/8/2022
SKivu_NKivu,-0.054168261,0.006862854,3,6/15/2022
SKivu_NKivu,-0.054168261,0.006862854,3,6/22/2022
SKivu_NKivu,-0.018859331,0.007798464,3,6/29/2022
SKivu_NKivu,-0.065112814,0.007798464,3,7/6/2022
SKivu_NKivu,-0.034663668,0.010605615,3,7/13/2022
SKivu_NKivu,0.684916618,0.028624784,3,7/20/2022
SKivu_NKivu,0.766957934,0.028624784,3,7/27/2022
SKivu_NKivu,0.570747273,0.048976455,3,8/3/2022
SKivu_NKivu,0.570747273,0.048976455,3,8/10/2022
SKivu_NKivu,0.296561033,0.07337158,3,8/17/2022
SKivu_NKivu,0.311548544,0.074664923,3,8/24/2022
SKivu_NKivu,0.29981804,0.074664923,3,8/31/2022
SKivu_NKivu,0.274332935,0.074664923,3,9/7/2022
SKivu_NKivu,0.228561094,0.077415835,3,9/14/2022
SKivu_NKivu,0.253639645,0.079340076,3,9/21/2022
SKivu_NKivu,0.30643065,0.081430951,3,9/28/2022
SKivu_NKivu,0.312753879,0.081344287,3,10/5/2022
SKivu_NKivu,0.050377152,0.076716509,3,10/12/2022
SKivu_NKivu,-8.49E-04,0.077730465,3,10/19/2022
SKivu_NKivu,-0.083132278,0.068523261,3,10/26/2022
SKivu_NKivu,-0.081528581,0.068318698,3,11/2/2022
SKivu_NKivu,-0.140063763,0.051417591,3,11/9/2022
SKivu_NKivu,-0.13884801,0.06157953,3,11/16/2022
SKivu_NKivu,-0.210489594,0.06157953,3,11/23/2022
SKivu_NKivu,-0.198600064,0.067153694,3,11/30/2022
